id|date|price|bedrooms|bathrooms|sqft_living|sqft_lot|floors|waterfront|view|condition|grade|sqft_above|sqft_basement|yr_built|yr_renovated|zipcode|lat|long|sqft_living15|sqft_lot15
"1938000140"|"20150428T000000"|810000|4|2|2920|10424|"1"|0|0|5|8|1520|1400|1964|0|"98005"|47.5876|-122.172|2360|10696
"4331000400"|"20150220T000000"|252000|3|1.5|1150|13200|"1"|0|0|3|7|1150|0|1956|0|"98166"|47.4752|-122.345|1220|13066
"4031700030"|"20150410T000000"|299999|3|2.5|2380|9719|"2"|0|0|3|8|2380|0|2001|0|"98001"|47.2932|-122.283|2830|11505
"1722800860"|"20150309T000000"|400000|3|2.75|2220|5000|"2"|0|0|3|7|2220|0|1993|0|"98108"|47.5515|-122.324|960|5000
"2491200955"|"20141229T000000"|530000|5|2|3020|6000|"1.5"|0|0|5|7|1860|1160|1925|0|"98126"|47.5207|-122.378|1380|6000
"2013802030"|"20140911T000000"|357000|3|2|2460|53882|"1"|1|4|3|7|2460|0|1955|0|"98198"|47.3811|-122.325|2660|32625
"1923300135"|"20150310T000000"|365000|3|1.75|1820|5555|"1"|0|0|4|7|1030|790|1939|0|"98103"|47.6867|-122.352|1420|4000
"2391600335"|"20150203T000000"|804000|4|2.5|2620|5060|"2"|0|0|3|9|2620|0|2005|0|"98116"|47.5634|-122.394|900|5060
"2425039017"|"20140904T000000"|808250|3|2|1750|2640|"1"|0|0|3|8|1010|740|1914|2005|"98119"|47.6419|-122.368|1750|4560
"6752600320"|"20150514T000000"|360000|4|2.5|2020|7289|"2"|0|0|3|7|2020|0|1994|0|"98031"|47.401|-122.171|2090|7259
"0193300140"|"20141023T000000"|240000|3|1.75|1240|10956|"1"|0|0|3|6|1240|0|1987|0|"98042"|47.3705|-122.15|1240|8137
"5651010320"|"20140722T000000"|335000|2|2|1380|5840|"1"|0|0|3|7|1380|0|1988|0|"98011"|47.7732|-122.172|1810|5035
"0243000045"|"20140829T000000"|380000|3|1.75|1920|8775|"1"|0|0|3|7|1920|0|1953|0|"98166"|47.4544|-122.351|1560|8100
"1558100398"|"20140515T000000"|350000|3|1.75|1680|250470|"1"|0|0|4|7|1070|610|1940|0|"98019"|47.7624|-121.93|1680|360000
"4204400339"|"20140925T000000"|194000|3|1|1400|7955|"1"|0|0|3|7|1400|0|1964|0|"98055"|47.4848|-122.221|1160|14959
"9567800140"|"20150325T000000"|310000|3|1|1240|7194|"1"|0|0|3|6|1090|150|1936|0|"98011"|47.7636|-122.202|2090|8514
"4046500140"|"20150209T000000"|315000|3|1.75|1410|15134|"1"|0|0|3|7|1410|0|1980|0|"98014"|47.6931|-121.921|1770|15337
"2115510160"|"20141208T000000"|258950|3|1.75|1440|8050|"1"|0|0|3|8|1440|0|1985|0|"98023"|47.3187|-122.39|1790|7488
"9828702518"|"20140617T000000"|479000|2|2.25|1230|932|"2"|0|0|3|8|1020|210|2004|0|"98112"|47.6192|-122.301|1230|1064
"3888100117"|"20141110T000000"|510000|5|1.5|1550|9750|"1"|0|0|4|7|1550|0|1966|0|"98033"|47.6811|-122.169|1970|9750
"1775900140"|"20140709T000000"|400000|3|2|1760|6875|"1"|0|0|4|8|1760|0|1967|0|"98072"|47.74|-122.093|1670|13650
"6645950070"|"20150401T000000"|1.45e+006|4|3.5|5000|38012|"2"|0|0|3|11|3610|1390|2004|0|"98029"|47.554|-122.036|3850|18054
"6840701160"|"20141029T000000"|680000|5|2|2140|5000|"1.5"|0|0|4|7|2020|120|1913|0|"98122"|47.6044|-122.299|1810|4400
"1336800240"|"20140508T000000"|1.75e+006|6|3|3510|5760|"2.5"|0|0|4|10|3510|0|1906|0|"98112"|47.6263|-122.312|3450|5760
"3830200140"|"20140804T000000"|335000|3|1.75|2010|9417|"1"|0|0|4|8|1500|510|1967|0|"98030"|47.373|-122.185|1200|8250
"2473510260"|"20140623T000000"|460000|5|2.5|3390|9760|"1"|0|0|5|8|1750|1640|1978|0|"98058"|47.4462|-122.137|2360|9600
"5056500260"|"20140502T000000"|440000|4|2.25|2160|8119|"1"|0|0|3|8|1080|1080|1966|0|"98006"|47.5443|-122.177|1850|9000
"8682280260"|"20150326T000000"|412250|2|2|1300|2983|"1"|0|0|3|8|1300|0|2006|0|"98053"|47.703|-122.015|1510|3876
"7338000800"|"20141120T000000"|185000|3|1.5|1280|4031|"2"|0|0|4|6|1280|0|1985|0|"98002"|47.3342|-122.215|1150|4500
"3260701160"|"20150407T000000"|286500|3|2|1840|8140|"1"|0|0|4|7|1040|800|1975|0|"98003"|47.3106|-122.325|1600|6720
"3793500510"|"20150502T000000"|422000|4|2.5|3200|6691|"2"|0|0|3|7|3200|0|2002|0|"98038"|47.367|-122.031|2610|6510
"9485950340"|"20150319T000000"|408000|3|2.25|2800|35362|"2"|0|0|3|9|2800|0|1985|0|"98042"|47.3507|-122.089|2800|37058
